CUI1,CUI2
C0013404,C0037088
C0013404,C1457887
C0013404,C0159053
C0013404,C0392194
C0013404,C0743330
C0013404,C0796462
C0013404,C0239202
C0013404,C0520825
C0013404,C0085619
C0013404,C0004096
C0013404,C0020440
C0013404,C3203358
C0013404,C0033931
C0013404,C1145670
C0013404,C0037315
C0013404,C0699949
C0013404,C0264334
C0013404,C0859927
C0013404,C0476273
C0013404,C0007222
C0013404,C0264342
C0013404,C0277854
C0013404,C0425449
C0013404,C0553668
C0013404,C0220854
C0013404,C0003129
C0013404,C0003130
C0013404,C2024878
C0013404,C0035234
C0013404,C0035242
C0013404,C0546947
C0013404,C0225386
C0013404,C3808046
C0013404,C0035222
C0013404,C0003578
C0013404,C0020578
C0013404,C0035204
C0013404,C0423729
C0013404,C0231807
C0013404,C0029601
C0013404,C0035203
C0013404,C1963100
C0013404,C0024115
C0553668,C1457887
C0553668,C0004096
C0553668,C0033931
C0553668,C0037315
C0553668,C0392194
C0553668,C0699949
C0553668,C0264334
C0553668,C0476273
C0553668,C0007222
C0553668,C0239202
C0553668,C0520825
C0553668,C0264342
C0553668,C0277854
C0553668,C0231807
C0553668,C0425449
C0553668,C0013404
C0553668,C0085619
C0553668,C0220854
C0553668,C0003129
C0553668,C0003130
C0553668,C0035234
C0553668,C0035242
C0553668,C0546947
C0553668,C0225386
C0553668,C0035222
C0553668,C0003578
C0553668,C0020578
C0553668,C0035204
C0553668,C0423729
C0553668,C0859927
C0553668,C0035203
C0553668,C0024115
C0004096,C0035228
C0004096,C0024117
C0004096,C0392707
C0004096,C0856716
C0004096,C0236072
C0004096,C0155883
C0004096,C0155879
C0004096,C0155880
C0004096,C0155882
C0004096,C0155878
C0004096,C0155881
C0004096,C0155886
C0004096,C0549336
C0004096,C0347950
C0004096,C0006266
C0004096,C0006277
C0004096,C0033931
C0004096,C0085129
C0004096,C0282556
C0004096,C0694548
C0004096,C0375321
C0004096,C0235906
C0004096,C0043144
C0004096,C0231875
C0004096,C0013404
C0004096,C0553668
C0004096,C0004096
C0004096,C0038218
C0004096,C2984299
C0004096,C0037763
C0004096,C1260881
C0004096,C0035204
C0004096,C0155877
C0004096,C1319018
C0004096,C0004099
C0004096,C1840085
C0004096,C1869116
C0004096,C1969640
C0038218,C0004096
C0038218,C0347950
C0038218,C0155879
C0038218,C0155882
C0038218,C0006266
C0038218,C0004096
C0038218,C0035204
C0038218,C4319581
C2984299,C0004096
C2984299,C0155886
C0037763,C0393593
C0037763,C0004096
C0037763,C0027765
C0037763,C1457887
C0037763,C0239367
C0037763,C0239368
C0037763,C0239369
C0037763,C0239721
C0037763,C0240183
C0037763,C0152167
C0037763,C0152168
C0037763,C0600030
C0037763,C0026826
C0037763,C1271100
C0037763,C0014863
C0037763,C0424790
C0037763,C0026837
C0037763,C0015644
C0037763,C0023066
C0037763,C0036572
C0037763,C0443306
C0037763,C0008489
C0037763,C0030193
C0037763,C0240302
C0037763,C0700153
C0037763,C0003286
C0037763,C0684219
C0037763,C0549469
C0037763,C0026650
C0037763,C0026821
C0037763,C0026838
C0037763,C0026857
C0037763,C0037766
C0037763,C0152163
C0037763,C0027125
C0037763,C0004158
C0037763,C0231530
C0037763,C1704276
C0037763,C0026845
C0037763,C1841639
C0037763,C0278151
C0037763,C0392702
C1260881,C0004096
C1260881,C1319018
C0035204,C0038218
C0035204,C0003130
C0035204,C1800706
C0035204,C2921392
C0035204,C0024117
C0035204,C0035242
C0035204,C0024121
C0035204,C1145670
C0035204,C0035232
C0035204,C0035455
C0035204,C0037199
C0035204,C0037315
C0035204,C0040425
C0035204,C0040584
C0035204,C0035244
C0035204,C0679406
C0035204,C0040588
C0035204,C0392315
C0035204,C0235558
C0035204,C0392319
C0035204,C0264219
C0035204,C0155901
C0035204,C0151536
C0035204,C0155893
C0035204,C0155896
C0035204,C0161818
C0035204,C0155897
C0035204,C0035508
C0035204,C0038450
C0035204,C0010200
C0035204,C0035237
C0035204,C0035243
C0035204,C0679564
C0035204,C0546947
C0035204,C0035222
C0035204,C1328841
C0035204,C0339912
C0035204,C0004144
C0035204,C0729250
C0035204,C0010520
C0035204,C0282636
C0035204,C0037195
C0035204,C0242379
C0035204,C0155839
C0035204,C0029607
C0035204,C0155904
C0035204,C0029582
C0035204,C0023051
C0035204,C0023052
C0035204,C0023066
C0035204,C0031350
C0035204,C1314696
C0035204,C0024110
C0035204,C1260922
C0035204,C0425449
C0035204,C0235568
C0035204,C0231837
C0035204,C0235744
C0035204,C0231848
C0035204,C0231874
C0035204,C0231875
C0035204,C0013604
C0035204,C0038999
C0035204,C0221347
C0035204,C0151610
C0035204,C0678864
C0035204,C1999000
C0035204,C0020542
C0035204,C0699949
C0035204,C0001311
C0035204,C0155918
C0035204,C0162297
C0035204,C0085786
C0035204,C0043144
C0035204,C0009443
C0035204,C0869292
C0035204,C0235551
C0035204,C0235557
C0035204,C0235560
C0035204,C0006261
C0035204,C0006266
C0035204,C0006267
C0035204,C0028432
C0035204,C0020192
C0035204,C0019123
C0035204,C0240893
C0035204,C0019079
C0035204,C0235535
C0035204,C0235536
C0035204,C0235064
C0035204,C0235065
C0035204,C0006271
C0035204,C0006277
C0035204,C0004044
C0035204,C0004045
C0035204,C0001127
C0035204,C0597264
C0035204,C0597384
C0035204,C0597388
C0035204,C0597396
C0035204,C0235546
C0035204,C0339961
C0035204,C0238990
C0035204,C0003129
C0035204,C0494675
C0035204,C0684249
